Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
459,F40-44,44,F,Manchester,NH,7:45,07:19.3,7:20,3:30,1:33,1 mile,1/1/2019
460,F13-19,18,F,Londonderry,NH,7:36,07:19.4,7:20,3:30,2:16,1 mile,1/1/2019
461,M13-19,13,M,Manchester,NH,7:35,07:19.6,7:20,3:30,3:14,1 mile,1/1/2019
462,F13-19,13,F,Fremont,NH,7:22,07:19.8,7:20,3:30,2:16,1 mile,1/1/2019
463,F30-34,33,F,Londonderry,NH,7:42,07:19.8,7:20,3:30,2:07,1 mile,1/1/2019
464,M60-64,61,M,Londonderry,NH,7:37,07:20.1,7:21,3:31,1:45,1 mile,1/1/2019
465,F55-59,57,F,Concord,NH,7:48,07:20.6,7:21,3:31,1:26,1 mile,1/1/2019
466,F25-29,27,F,Merrimack,NH,7:36,07:20.7,7:21,3:31,2:17,1 mile,1/1/2019
467,F35-39,39,F,Amherst,NH,8:30,07:21.2,7:22,3:32,1:59,1 mile,1/1/2019
468,F25-29,29,F,Nashua,NH,7:34,07:21.8,7:22,3:32,2:18,1 mile,1/1/2019
469,F60-64,63,F,Derry,NH,7:31,07:22.9,7:23,3:33,0:09,1 mile,1/1/2019
470,F35-39,35,F,Chester,NH,7:41,07:23.0,7:23,3:33,2:00,1 mile,1/1/2019
471,M7,7,M,Westford,MA,7:29,07:23.1,7:24,3:34,Winner,1 mile,1/1/2019
472,M50-54,52,M,Londonderry,NH,7:33,07:23.5,7:24,3:34,2:50,1 mile,1/1/2019
473,M12,12,M,Londonderry,NH,7:41,07:23.6,7:24,3:34,2:01,1 mile,1/1/2019
474,F25-29,26,F,Merrimack,NH,7:51,07:23.6,7:24,3:34,2:20,1 mile,1/1/2019
475,F13-19,15,F,Derry,NH,7:35,07:23.8,7:24,3:34,2:20,1 mile,1/1/2019
476,F50-54,53,F,Londonderry,NH,7:33,07:23.9,7:24,3:34,1:35,1 mile,1/1/2019
477,M70-UP,82,M,Litchfield,NH,7:39,07:24.6,7:25,3:35,1:16,1 mile,1/1/2019
478,M60-64,64,M,Merrimack,NH,7:31,07:24.9,7:25,3:35,1:49,1 mile,1/1/2019
479,F45-49,49,F,Manchester,NH,7:48,07:25.0,7:25,3:35,0:51,1 mile,1/1/2019
480,F7,7,F,Fremont,NH,7:27,07:25.0,7:25,3:35,Winner,1 mile,1/1/2019
481,M45-49,48,M,Bedford,NH,7:50,07:25.1,7:26,3:36,2:58,1 mile,1/1/2019
482,F25-29,28,F,Manchester,NH,7:51,07:25.2,7:26,3:36,2:22,1 mile,1/1/2019
483,M7,7,M,Bedford,NH,7:37,07:25.3,7:26,3:36,0:02,1 mile,1/1/2019
484,M40-44,44,M,Bedford,NH,7:41,07:25.7,7:26,3:36,3:11,1 mile,1/1/2019
485,F35-39,36,F,Bedford,NH,7:37,07:26.0,7:26,3:36,2:03,1 mile,1/1/2019
486,M20-24,23,M,Jamaica Plain,MA,7:43,07:26.0,7:26,3:36,3:12,1 mile,1/1/2019
487,F45-49,45,F,Londonderry,NH,7:54,07:26.4,7:27,3:37,0:53,1 mile,1/1/2019
488,F40-44,44,F,Bedford,NH,7:41,07:26.4,7:27,3:37,1:40,1 mile,1/1/2019
489,F25-29,29,F,Nashua,NH,7:43,07:26.5,7:27,3:37,2:23,1 mile,1/1/2019
490,F20-24,24,F,Jamaica Plain,MA,7:43,07:26.5,7:27,3:37,2:10,1 mile,1/1/2019
491,F40-44,42,F,Manchester,NH,7:52,07:26.5,7:27,3:37,1:40,1 mile,1/1/2019
492,F30-34,30,F,Henniker,NH,7:47,07:26.7,7:27,3:37,2:14,1 mile,1/1/2019
493,F50-54,50,F,Hudson,NH,7:51,07:26.8,7:27,3:37,1:38,1 mile,1/1/2019
494,F13-19,15,F,Mont Vernon,NH,7:44,07:26.8,7:27,3:37,2:23,1 mile,1/1/2019
495,M40-44,41,M,Londonderry,NH,7:39,07:26.9,7:27,3:37,3:12,1 mile,1/1/2019
496,M35-39,35,M,Concord,NH,7:33,07:27.0,7:27,3:37,2:51,1 mile,1/1/2019
497,F45-49,46,F,Milford,NH,7:33,07:27.2,7:28,3:38,0:54,1 mile,1/1/2019
498,M50-54,54,M,Bedford,NH,7:46,07:27.3,7:28,3:38,2:54,1 mile,1/1/2019
499,F13-19,16,F,Brookline,NH,7:50,07:27.3,7:28,3:38,2:24,1 mile,1/1/2019
500,F35-39,39,F,Londonderry,NH,7:52,07:27.4,7:28,3:38,2:05,1 mile,1/1/2019
501,M13-19,16,M,Milford,NH,9:01,07:27.7,7:28,3:38,3:22,1 mile,1/1/2019
502,M45-49,45,M,Londonderry,NH,7:57,07:28.0,7:28,3:38,3:00,1 mile,1/1/2019
503,F55-59,57,F,Londonderry,NH,7:40,07:28.3,7:29,3:39,1:34,1 mile,1/1/2019
504,M55-59,59,M,Skokie,IL,8:22,07:28.7,7:29,3:39,2:12,1 mile,1/1/2019
505,F60-64,62,F,Merrimack,NH,7:42,07:28.9,7:29,3:39,0:15,1 mile,1/1/2019
506,F30-34,33,F,Wilton,NH,7:46,07:29.0,7:29,3:39,2:16,1 mile,1/1/2019
507,F50-54,52,F,Laconia,NH,7:37,07:29.2,7:30,3:40,1:41,1 mile,1/1/2019
508,M10,10,M,Londonderry,NH,8:05,07:29.9,7:30,3:40,1:33,1 mile,1/1/2019
509,M20-24,24,M,Derry,NH,7:30,07:30.0,7:30,3:40,3:16,1 mile,1/1/2019
510,F25-29,25,F,Concord,NH,7:55,07:30.1,7:31,3:41,2:27,1 mile,1/1/2019
511,M40-44,40,M,Manchester,NH,8:00,07:30.1,7:31,3:41,3:16,1 mile,1/1/2019
